iter	Passed	Remaining
0	132	132864
1	134	66993
2	135	45009
3	136	34002
4	137	27396
5	139	23032
6	140	19893
7	141	17534
8	142	15705
9	143	14243
10	145	13041
11	146	12033
12	147	11185
13	148	10463
14	150	9854
15	151	9302
16	152	8824
17	153	8385
18	154	7996
19	156	7652
20	157	7340
21	158	7054
22	160	6796
23	161	6552
24	162	6329
25	163	6125
26	164	5937
27	165	5759
28	167	5601
29	168	5450
30	169	5305
31	171	5173
32	172	5049
33	173	4931
34	174	4819
35	176	4717
36	177	4620
37	178	4528
38	180	4441
39	182	4368
40	183	4289
41	184	4210
42	185	4135
43	187	4066
44	188	4002
45	189	3935
46	191	3877
47	192	3817
48	193	3759
49	195	3705
50	196	3652
51	197	3600
52	198	3549
53	199	3503
54	201	3456
55	202	3410
56	203	3366
57	204	3324
58	206	3290
59	207	3254
60	209	3220
61	210	3184
62	211	3148
63	212	3113
64	214	3082
65	215	3050
66	216	3019
67	217	2982
68	218	2953
69	220	2926
70	221	2899
71	223	2875
72	224	2849
73	225	2824
74	227	2800
75	228	2776
76	229	2753
77	230	2729
78	232	2705
79	233	2683
80	234	2663
81	236	2643
82	237	2622
83	238	2602
84	239	2580
85	241	2562
86	242	2542
87	243	2523
88	244	2506
89	246	2488
90	247	2471
91	248	2454
92	249	2437
93	251	2421
94	252	2407
95	253	2391
96	255	2374
97	256	2362
98	258	2348
99	259	2334
100	260	2320
101	261	2300
102	262	2285
103	263	2271
104	264	2258
105	266	2245
106	267	2233
107	268	2220
108	270	2208
109	271	2197
110	272	2185
111	274	2175
112	275	2164
113	276	2152
114	278	2142
115	279	2130
116	280	2119
117	282	2109
118	283	2097
119	284	2087
120	286	2077
121	287	2069
122	288	2056
123	289	2046
124	291	2037
125	292	2031
126	294	2026
127	296	2018
128	297	2009
129	299	2002
130	301	1997
131	302	1989
132	303	1980
133	305	1972
134	306	1965
135	308	1956
136	309	1948
137	310	1938
138	311	1930
139	312	1922
140	314	1915
141	315	1909
142	317	1901
143	318	1893
144	319	1886
145	321	1878
146	322	1872
147	323	1864
148	325	1859
149	327	1853
150	328	1846
151	329	1839
152	331	1833
153	332	1826
154	333	1818
155	335	1812
156	336	1807
157	338	1802
158	339	1796
159	341	1791
160	342	1784
161	343	1778
162	345	1772
163	346	1765
164	347	1759
165	348	1753
166	350	1746
167	351	1740
168	352	1734
169	354	1730
170	355	1725
171	357	1720
172	358	1715
173	360	1709
174	361	1703
175	362	1698
176	364	1693
177	365	1688
178	367	1683
179	368	1679
180	369	1671
181	370	1666
182	372	1662
183	373	1658
184	375	1653
185	376	1648
186	377	1643
187	379	1638
188	380	1633
189	382	1628
190	383	1624
191	384	1619
192	386	1615
193	387	1610
194	389	1607
195	390	1602
196	391	1597
197	393	1593
198	394	1588
199	396	1584
200	397	1580
201	398	1575
202	400	1571
203	401	1567
204	403	1563
205	404	1558
206	405	1554
207	407	1550
208	408	1546
209	410	1542
210	411	1538
211	413	1535
212	414	1531
213	415	1526
214	417	1523
215	418	1519
216	420	1515
217	421	1511
218	423	1508
219	424	1506
220	426	1502
221	427	1499
222	429	1495
223	430	1491
224	432	1488
225	433	1484
226	434	1480
227	435	1475
228	437	1472
229	438	1468
230	439	1464
231	441	1462
232	442	1458
233	444	1454
234	445	1451
235	447	1447
236	448	1444
237	449	1440
238	451	1436
239	452	1433
240	454	1430
241	455	1427
242	456	1423
243	458	1420
244	459	1417
245	461	1414
246	462	1411
247	464	1407
248	465	1404
249	467	1401
250	468	1397
251	469	1394
252	471	1391
253	472	1387
254	473	1384
255	475	1382
256	477	1380
257	479	1377
258	480	1374
259	481	1371
260	483	1368
261	484	1365
262	485	1361
263	487	1358
264	488	1355
265	490	1353
266	492	1352
267	494	1349
268	495	1346
269	497	1343
270	498	1341
271	499	1338
272	501	1334
273	502	1332
274	504	1329
275	505	1327
276	507	1324
277	508	1321
278	510	1318
279	511	1315
280	513	1312
281	514	1309
282	515	1306
283	517	1304
284	519	1302
285	520	1298
286	522	1297
287	523	1294
288	525	1291
289	526	1288
290	527	1286
291	529	1283
292	530	1281
293	532	1279
294	534	1276
295	535	1274
296	537	1271
297	539	1269
298	540	1267
299	541	1264
300	543	1262
301	545	1259
302	546	1257
303	547	1254
304	549	1251
305	550	1249
306	552	1246
307	553	1243
308	554	1240
309	556	1239
310	558	1237
311	559	1234
312	561	1232
313	563	1230
314	564	1227
315	565	1225
316	567	1222
317	568	1220
318	570	1218
319	572	1215
320	573	1212
321	575	1211
322	576	1208
323	578	1206
324	579	1203
325	581	1201
326	582	1198
327	584	1196
328	585	1194
329	587	1192
330	588	1190
331	590	1188
332	591	1185
333	593	1183
334	594	1181
335	596	1178
